all_planet_names,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date,visibility_from_naked_eyes
LP 890-9 c,32.4298,25.3,18.0,2022,not visible
TOI-4479 b,80.6532,8.35,15.18,2022,not visible
HIP 21152 b,43.4073,31200.0,6.37009,2022,not visible
KOI-984 b,252.667,17.1,12.795,2022,not visible
KOI-984 c,252.667,858.13,12.795,2022,not visible
NGTS-20 b,382.898,3874.0,11.233,2022,not visible
TOI-5153 b,390.484,4238.0,11.932,2022,not visible
TOI-1272 b,137.572,24.6,11.758,2022,not visible
TOI-1272 c,137.572,26.7,11.758,2022,not visible
TOI-1422 b,155.141,9.0,10.622,2022,not visible
CoRoT-7 d,159.906,17.142,11.728,2022,not visible
CoRoT-35 b,1123.21,1430.0,15.635,2022,not visible
GJ 3929 c,15.8095,5.71,12.675,2022,not visible
HD 93963 A b,82.3432,7.8,9.182,2022,not visible
HD 93963 A c,82.3432,19.2,9.182,2022,not visible
CoRoT-36 b,925.958,884.0,13.126,2022,not visible
TOI-2196 b,259.947,26.0,12.297,2022,not visible
TOI-2193 A b,337.064,1222.0,11.976,2022,not visible
TOI-2207 b,373.345,832.0,11.316,2022,not visible
TOI-1670 c,168.067,819.0,9.889,2022,not visible
TOI-1759 b,40.0654,10.8,11.93,2022,not visible
K2-409 b,431.031,6.72,12.902,2022,not visible
HD 29399 b,44.1518,2041.0,5.79,2022,visible
TOI-2445 b,48.582,2.1,15.692,2022,not visible
TOI-500 b,47.3924,1.42,10.54,2022,not visible
TOI-544 b,41.1166,2.89,10.777,2022,not visible
TOI-833 b,41.7148,2.15,11.724,2022,not visible
GJ 3929 b,15.8095,1.75,12.675,2022,not visible
K2-368 c,206.608,2.42,13.581,2022,not visible
K2-368 d,206.608,4.45,13.581,2022,not visible
K2-381 b,145.701,1.26,12.883,2022,not visible
K2-384 d,82.6603,2.52,16.12,2022,not visible
K2-381 c,145.701,4.66,12.883,2022,not visible
K2-381 d,145.701,3.5,12.883,2022,not visible
K2-382 b,278.412,4.95,12.977,2022,not visible
K2-383 b,203.788,3.07,12.689,2022,not visible
K2-387 b,266.318,172.9,16.147,2022,not visible
K2-370 b,144.202,10.4,11.109,2022,not visible
K2-373 b,229.567,4.9,10.47,2022,not visible
K2-379 b,182.207,5.4,13.265,2022,not visible
K2-380 b,249.303,7.89,11.688,2022,not visible
TOI-2427 b,28.5147,3.89,10.295,2022,not visible
TOI-2411 b,59.5362,3.46,11.272,2022,not visible
TOI-2260 b,101.251,3.26,10.474,2022,not visible
TOI-206 b,47.7465,2.24,14.938,2022,not visible
LTT 1445 A c,6.86929,1.54,10.59,2022,not visible
